timestamp,cow_id,rfid_epc,rfid_zone,gps_lat,gps_lng,gps_sats,battery_pct,heart_rate_bpm,steps,body_temp_c,sound_level_db,acoustic_events,lora_rssi_dbm,lora_snr_db,behavior
2026-06-21 00:00:00,1,,,40.986636,29.123727,7,99.6,60,1,38.4,36,0,-71,8.9,resting
2026-06-21 00:00:00,2,,,40.987382,29.123144,11,98.6,62,2,38.39,36,1,-56,11.6,resting
2026-06-21 00:00:00,3,,,40.987897,29.122924,10,98.7,61,1,38.33,34,0,-60,10.2,resting
2026-06-21 00:00:00,4,,,40.987489,29.122807,9,98.0,62,2,38.31,42,0,-64,9.2,resting
2026-06-21 00:00:00,5,,,40.987215,29.12275,9,97.3,59,2,38.39,41,0,-62,10.6,resting
2026-06-21 00:00:00,6,,,40.987621,29.123932,9,97.0,58,1,38.29,34,0,-62,9.7,resting
2026-06-21 00:00:00,7,,,40.987952,29.124166,10,97.4,63,2,38.31,38,0,-62,8.5,resting
2026-06-21 00:00:00,8,,,40.987155,29.123481,10,99.7,61,2,38.29,37,0,-65,9.8,resting
2026-06-21 00:00:00,9,,,40.987466,29.122937,8,96.9,61,2,38.25,34,0,-59,10.6,resting
2026-06-21 00:00:00,10,,,40.987895,29.124317,8,97.6,59,2,38.37,32,1,-69,7.4,resting
2026-06-21 00:05:00,1,,,40.986637,29.123658,8,99.6,58,2,38.23,35,0,-73,8.8,resting
2026-06-21 00:05:00,2,,,40.987344,29.123342,11,98.6,62,2,38.34,37,0,-57,9.8,resting
2026-06-21 00:05:00,3,,,40.98789,29.12314,11,98.7,57,1,38.34,30,0,-56,9.3,resting
2026-06-21 00:05:00,4,,,40.987539,29.122817,11,98.0,61,2,38.24,39,0,-65,9.1,resting
2026-06-21 00:05:00,5,,,40.987336,29.122837,9,97.3,62,2,38.34,34,0,-61,10.9,resting
2026-06-21 00:05:00,6,,,40.987619,29.123786,11,97.0,59,2,38.28,32,0,-61,8.8,resting
2026-06-21 00:05:00,7,,,40.988033,29.12432,8,97.4,60,1,38.4,38,0,-69,8.2,resting
2026-06-21 00:05:00,8,,,40.987287,29.12332,10,99.7,59,2,38.27,33,0,-60,9.2,resting
2026-06-21 00:05:00,9,,,40.987358,29.123037,10,96.9,64,2,38.43,33,0,-61,8.7,resting
2026-06-21 00:05:00,10,,,40.988038,29.124426,7,97.6,59,2,38.4,35,0,-69,7.2,resting
2026-06-21 00:10:00,1,,,40.986512,29.12387,8,99.5,58,2,38.28,32,0,-69,9.2,resting
